configuration,h0,h1,w0,w1,operation,n,mean_latency_ms,median_latency_ms,sd_latency_ms,cv_latency_pct,p95_latency_ms,max_latency_ms,min_latency_ms,mean_cpu_cycles,median_cpu_cycles,p95_cpu_cycles,max_cpu_cycles,mean_logical_hash_calls,median_logical_hash_calls,p95_logical_hash_calls,max_logical_hash_calls,signature_bytes,public_key_bytes,secret_key_bytes
H6-14_W4-16,6,14,4,16,verify,65,2.2416164615384617,2.237852,0.028682774233346985,1.2795576194895304,2.2884588,2.306945,2.163112,5375805.492307693,5365954.0,5488161.6,5536827.0,3129.507692307692,3123.0,3195.0,3222.0,7075,64,5518
H6-14_W4-4,6,14,4,4,keygen,10,22096.611746,22095.073079,4.7445559787109906,0.021471871041811946,22104.7907508,22105.550709,22091.375394,52997967339.6,52994808072.0,53017365157.95,53019154110.0,30626886.9,30626872.5,30626955.75,30626976.0,9187,64,7630
H6-14_W4-4,6,14,4,4,sign,65,4.598698523076923,3.659112,1.600461127915445,34.8024798730359,7.2469742,7.275833,1.866148,11029762.96923077,8777428.0,17383103.0,17451094.0,6381.3538461538465,5070.0,10059.0,10095.0,9187,64,7630
H6-14_W4-4,6,14,4,4,verify,65,1.6077564153846153,1.613519,0.03497115947949659,2.1751528493282746,1.6501476,1.752352,1.547389,3855769.815384615,3870621.0,3960540.8,4205817.0,2226.4153846153845,2235.0,2289.0,2433.0,9187,64,7630
H8-12_W16-16,8,12,16,16,keygen,10,10429.377238,10428.985456499999,6.686143410598805,0.06410875029275459,10438.8262702,10445.638345,10418.667401,25014442154.7,25013524227.0,25037045432.199997,25053313663.0,14580802.5,14580811.5,14580903.75,14580924.0,4963,64,5758
H8-12_W16-16,8,12,16,16,sign,257,10.673789501945524,12.95737,3.956574445983283,37.06813259959936,15.4686112,15.558796,3.531667,25598267.61089494,31076100.0,37099802.6,37318840.0,14976.789883268482,18169.0,21732.0,21826.0,4963,64,5758
H8-12_W16-16,8,12,16,16,verify,257,2.5494109571984436,2.551611,0.07681469486547157,3.0130369781529263,2.6842591999999996,2.749185,2.391908,6113740.898832684,6119431.0,6437242.0,6591873.0,3571.8210116731516,3579.0,3759.0,3849.0,4963,64,5758
H8-12_W16-4,8,12,16,4,keygen,10,6098.6041093,6098.4681165,2.900934061174894,0.04756718109888697,6102.5504889,6103.479423,6094.049256,14627288216.9,14626989061.5,14636765524.4,14639010083.0,8485104.3,8485107.0,8485158.75,8485179.0,7075,64,7870
H8-12_W16-4,8,12,16,4,sign,257,10.675225439688717,12.988352,3.97322404096969,37.21911132853366,15.4961702,15.706425,3.522463,25601491.52918288,31148752.0,37168373.4,37450661.0,14978.43579766537,18251.0,21777.0,21867.0,7075,64,7870
H8-12_W16-4,8,12,16,4,verify,257,2.122759093385214,2.104463,0.08586328323429343,4.044890609671832,2.2937366000000003,2.427278,1.942963,5090920.260700389,5049106.0,5500364.8,5813230.0,2960.929961089494,2934.0,3204.0,3384.0,7075,64,7870
H8-12_W4-16,8,12,4,16,keygen,10,10258.6159589,10259.8517535,2.119932325217753,0.02066489606113559,10260.37494585,10260.518679,10254.302827,24605187838.0,24608144136.5,24609358087.2,24609677544.0,14199856.5,14199883.5,14199951.0,14199951.0,7075,64,5758
H8-12_W4-16,8,12,4,16,sign,257,5.965819291828794,7.278056,2.2405872590203884,37.557075556902205,8.675193,8.720926,1.91887,14307819.575875487,17456418.0,20812159.4,20902452.0,8195.132295719844,9999.0,11920.0,11961.0,7075,64,5758
H8-12_W4-16,8,12,4,16,verify,257,2.1457135291828795,2.150204,0.028760133606480713,1.3403529043055906,2.1945734000000003,2.233259,2.054481,5145686.949416342,5158810.0,5262724.4,5333008.0,2958.303501945525,2970.0,3024.0,3069.0,7075,64,5758
H8-12_W4-4,8,12,4,4,keygen,10,5841.4090911,5841.3235525,3.1275519592913827,0.05354105337454513,5846.06714075,5846.669108,5837.563756,14010409670.1,14010300565.5,14021578944.25,14023125538.0,8104130.4,8104125.0,8104183.949999999,8104188.0,9187,64,7870
H8-12_W4-4,8,12,4,4,sign,257,5.8921049027237355,7.189037,2.222499128136746,37.719951780039665,8.581333,8.660129,1.859426,14129432.108949417,17246653.0,20578305.8,20665688.0,8184.136186770428,9985.0,11920.8,11997.0,9187,64,7870
H8-12_W4-4,8,12,4,4,verify,257,1.7067786186770428,1.712519,0.028855329881138723,1.6906310850967332,1.753063,1.77763,1.622018,4093732.852140078,4108928.0,4205067.0,4264768.0,2369.0194552529183,2379.0,2433.0,2469.0,9187,64,7870
